document_id,file_name,label
0,clean_text3/AAN_DEF 14A_20190508_0000706688-19-000089.txt,AAN
1,clean_text3/AAPL_DEF 14A_20190301_0001193125-19-004664.txt,AAPL
2,clean_text3/AAXN_DEF 14A_20181231_0001069183-18-000143.txt,AAXN
3,clean_text3/AA_DEF 14A_20190508_0001193125-19-079568.txt,AA
4,clean_text3/ABBV_DEF 14A_20190503_0001047469-19-001544.txt,ABBV
5,clean_text3/ABCP_DEF 14A_20190326_0000020639-19-000008.txt,ABCP
6,clean_text3/ABC_DEF 14A_20190228_0001047469-19-000162.txt,ABC
7,clean_text3/ABG_DEF 14A_20190417_0001144980-19-000072.txt,ABG
8,clean_text3/ABM_DEF 14A_20190327_0001564590-19-002857.txt,ABM
9,clean_text3/ABTX_DEF 14A_20190425_0001564590-19-007942.txt,ABTX
10,clean_text3/ABT_DEF 14A_20190426_0001047469-19-001316.txt,ABT
11,clean_text3/ACA_DEF 14A_20190507_0001140361-19-005578.txt,ACA
12,clean_text3/ACC_DEF 14A_20190501_0001283630-19-000076.txt,ACC
13,clean_text3/ACGL_DEF 14A_20190508_0000947484-19-000023.txt,ACGL
14,clean_text3/ACHC_DEF 14A_20190502_0001193125-19-081574.txt,ACHC
15,clean_text3/ACHV_DEF 14A_20190514_0001193125-19-090414.txt,ACHV
16,clean_text3/ACLS_DEF 14A_20190514_0001047469-19-001654.txt,ACLS
17,clean_text3/ACM_DEF 14A_20190306_0001047469-19-000207.txt,ACM
18,clean_text3/ACN_DEF 14A_20190201_0001193125-18-344943.txt,ACN
19,clean_text3/ACRE_DEF 14A_20190423_0001529377-19-000022.txt,ACRE
20,clean_text3/ACU_DEF 14A_20190422_0001193125-19-080802.txt,ACU
21,clean_text3/ACY_DEF 14A_20190329_0001036848-19-000010.txt,ACY
22,clean_text3/ADAP_DEF 14A_20190502_0001047469-19-001324.txt,ADAP
23,clean_text3/ADBE_DEF 14A_20190411_0000796343-19-000060.txt,ADBE
24,clean_text3/ADC_DEF 14A_20190425_0001144204-19-013534.txt,ADC
25,clean_text3/ADI_DEF 14A_20190313_0001193125-19-016431.txt,ADI
26,clean_text3/ADM_DEF 14A_20190501_0001193125-19-082754.txt,ADM
27,clean_text3/ADNT_DEF 14A_20190311_0001193125-19-017187.txt,ADNT
28,clean_text3/ADOM_DEF 14A_20190508_0001193125-19-073419.txt,ADOM
29,clean_text3/ADRO_DEF 14A_20190514_0001558370-19-002636.txt,ADRO
30,clean_text3/ADXSW_DEF 14A_20190111_0001493152-19-000490.txt,ADXSW
31,clean_text3/ADXS_DEF 14A_20190111_0001493152-19-000490.txt,ADXS
32,clean_text3/ADX_DEF 14A_20190416_0001144204-19-010499.txt,ADX
33,clean_text3/AEE_DEF 14A_20190502_0001206774-19-000914.txt,AEE
34,clean_text3/AEGN_DEF 14A_20190424_0001437749-19-004193.txt,AEGN
35,clean_text3/AEMD_DEF 14A_20190220_0001683168-19-000479.txt,AEMD
36,clean_text3/AEPPA_DEF 14A_20190423_0001193125-19-072746.txt,AEPPA
37,clean_text3/AEP_DEF 14A_20190423_0001193125-19-072746.txt,AEP
38,clean_text3/AES_DEF 14A_20190418_0000874761-19-000019.txt,AES
39,clean_text3/AFIN_DEF 14A_20190506_0001144204-19-014696.txt,AFIN
40,clean_text3/AFL_DEF 14A_20190506_0001206774-19-000982.txt,AFL
41,clean_text3/AFSD_DEF 14A_20190506_0001206774-19-000982.txt,AFSD
42,clean_text3/AGCO_DEF 14A_20190425_0000880266-19-000011.txt,AGCO
43,clean_text3/AGHC_DEF 14A_20181206_0001437749-18-018881.txt,AGHC
44,clean_text3/AGNCB_DEF 14A_20190418_0001193125-19-067166.txt,AGNCB
45,clean_text3/AGNCP_DEF 14A_20190418_0001193125-19-067166.txt,AGNCP
46,clean_text3/AGNC_DEF 14A_20190418_0001193125-19-067166.txt,AGNC
47,clean_text3/AGN_DEF 14A_20190501_0001047469-19-001547.txt,AGN
48,clean_text3/AGO_DEF 14A_20190508_0001193125-19-087647.txt,AGO
49,clean_text3/AGTC_DEF 14A_20181115_0001193125-18-300301.txt,AGTC
50,clean_text3/AHC_DEF 14A_20190509_0001193125-19-089173.txt,AHC
51,clean_text3/AHPI_DEF 14A_20181108_0001144204-18-052737.txt,AHPI
52,clean_text3/AIMCV_DEF 14A_20190424_0001193125-19-083224.txt,AIMCV
53,clean_text3/AIMC_DEF 14A_20190424_0001193125-19-083224.txt,AIMC
54,clean_text3/AIN_DEF 14A_20190327_0000891092-19-003329.txt,AIN
